forecast_period,forecast_revenue,lower_bound,upper_bound,model,validation_rmse,forecast_year,forecast_month,year_month
2026-09-01,-7537122.84,-11717375.439827085,-3356870.240172915,SeasonalNaive,2132781.938687288,2026,9,2026-09
2026-10-01,-8543129.62,-12723382.219827084,-4362877.0201729145,SeasonalNaive,2132781.938687288,2026,10,2026-10
2026-11-01,-8796003.97,-12976256.569827085,-4615751.370172916,SeasonalNaive,2132781.938687288,2026,11,2026-11
2026-12-01,-10589119.21,-14769371.809827086,-6408866.610172916,SeasonalNaive,2132781.938687288,2026,12,2026-12
2027-01-01,-7971258.77,-12151511.369827084,-3791006.170172915,SeasonalNaive,2132781.938687288,2027,1,2027-01
2027-02-01,-8864463.19,-13044715.789827084,-4684210.590172915,SeasonalNaive,2132781.938687288,2027,2,2027-02
